"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2470149756102030630",="2470149756102030630","【暖春价】Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443005364","颜色分类：粉红色 (竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】S码：3.5-6kg（约1-3个月）","null","null","卖家已发货，等待买家确认","9343443005364",="null","276.52","276.52","没有申请退款","无退款申请","2022-02-16 08:28:22","2022-02-16 08:28:28"
="2472195927965232015",="2472195927965232015","【暖春价】Love to dream 婴幼儿过渡期睡袋 秋冬季保暖款防惊跳投降式睡袋","539.00","1","9343443006026","颜色分类：浅紫色(秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","卖家已发货，等待买家确认","9343443006026",="null","191.16","191.16","没有申请退款","无退款申请","2022-02-16 08:21:34","2022-02-16 08:21:39"
="1489226665685270586",="1489226665685270586","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000369","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】S码：2.5-4.5kg（约0-1个月）","null","null","卖家已发货，等待买家确认","9343443000369",="null","246.67","246.67","没有申请退款","无退款申请","2022-02-16 08:10:01","2022-02-16 08:10:07"
="2472175587844470955",="2472175587844470955","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443004077","颜色分类：粉红色 （四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","卖家已发货，等待买家确认","9343443004077",="null","305.02","305.02","没有申请退款","无退款申请","2022-02-16 07:51:44","2022-02-16 07:51:48"
="2471481794885379627",="2471481794885379627","【暖春价】lovetodream婴儿宝宝过渡期睡袋春夏轻薄款襁褓防惊跳投降式睡姿","509.00","1","9343443006859","颜色分类：粉色彩点（春夏季轻薄款）0.2TOG;长度：【尺码详询客服】XL码：11-14kg (约9-12个月)","null","null","卖家已发货，等待买家确认","9343443006859",="null","305.02","305.02","没有申请退款","无退款申请","2022-02-16 06:51:49","2022-02-16 06:51:55"
="2472150099435784063",="2472150099435784063","【暖春价】Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443005340","颜色分类：灰色星月 (竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","卖家已发货，等待买家确认","9343443005340",="null","246.00","246.00","没有申请退款","无退款申请","2022-02-16 06:27:28","2022-02-16 06:27:32"
="1489205677296038168",="1489205677296038168","【暖春价】Lovetodream 新生婴儿防惊跳睡袋宝宝襁褓投降式防踢被四季通用款","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","286.91","286.91","没有申请退款","无退款申请","2022-02-16 04:56:43","2022-02-16 04:56:52"
="2471132305266583831",="2471132305266583831","【暖春价】Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443005371","颜色分类：粉红色 (竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","卖家已发货，等待买家确认","9343443005371",="null","278.15","278.15","没有申请退款","无退款申请","2022-02-16 04:07:06","2022-02-16 04:07:13"
="2472134691438214517",="2472134691438214517","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-16 03:48:33","2022-02-16 03:48:39"
="2470079736801717862",="2470079736801717862","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-16 03:01:15","2022-02-16 03:01:19"
="2471458538543907610",="2471458538543907610","【暖春价】lovetodream婴儿睡袋襁褓分腿睡袋四季通用款防惊跳投降式睡袋","499.00","1","9343443005487","颜色分类：灰色（四季通用款） 1.0TOG;长度：【建议大一码】XL码：11-14kg (约9-12个月)","null","null","卖家已发货，等待买家确认","9343443005487",="null","299.01","299.01","没有申请退款","无退款申请","2022-02-16 02:56:21","2022-02-16 02:56:29"
